example_id,severity,layer,cosine_similarity,cosine_distance,example_score_drop
56beb3a03aeaaa14008c9248,1,0,0.7675249576568604,0.23247504234313965,0.0
56beb3a03aeaaa14008c9248,1,1,0.8884252309799194,0.11157476902008057,0.0
56beb3a03aeaaa14008c9248,1,2,0.863930344581604,0.136069655418396,0.0
56beb3a03aeaaa14008c9248,1,3,0.9010350704193115,0.09896492958068848,0.0
56beb3a03aeaaa14008c9248,1,4,0.8843816518783569,0.11561834812164307,0.0
56beb3a03aeaaa14008c9248,1,5,0.8708184361457825,0.12918156385421753,0.0
56beb3a03aeaaa14008c9248,1,6,0.8617051839828491,0.13829481601715088,0.0
56beb3a03aeaaa14008c9248,1,7,0.8616583943367004,0.13834160566329956,0.0
56beb3a03aeaaa14008c9248,1,8,0.861502468585968,0.13849753141403198,0.0
56beb3a03aeaaa14008c9248,1,9,0.8810054063796997,0.11899459362030029,0.0
56beb3a03aeaaa14008c9248,1,10,0.8847360610961914,0.1152639389038086,0.0
56beb3a03aeaaa14008c9248,1,11,0.8954998850822449,0.10450011491775513,0.0
56beb3a03aeaaa14008c9248,1,12,0.8807434439659119,0.11925655603408813,0.0
56beb3a03aeaaa14008c9248,1,13,0.8843222856521606,0.11567771434783936,0.0
56beb3a03aeaaa14008c9248,1,14,0.8939923048019409,0.10600769519805908,0.0
56beb3a03aeaaa14008c9248,1,15,0.9158740043640137,0.08412599563598633,0.0
56beb3a03aeaaa14008c9248,1,16,0.9309577345848083,0.06904226541519165,0.0
56beb3a03aeaaa14008c9248,1,17,0.935167133808136,0.06483286619186401,0.0
56beb3a03aeaaa14008c9248,1,18,0.9362947940826416,0.0637052059173584,0.0
56beb3a03aeaaa14008c9248,1,19,0.9340527653694153,0.06594723463058472,0.0
56beb3a03aeaaa14008c9248,1,20,0.9401930570602417,0.0598069429397583,0.0
56beb3a03aeaaa14008c9248,1,21,0.9456019401550293,0.0543980598449707,0.0
56beb3a03aeaaa14008c9248,1,22,0.947163999080658,0.05283600091934204,0.0
56beb3a03aeaaa14008c9248,1,23,0.9472166299819946,0.05278337001800537,0.0
56beb3a03aeaaa14008c9248,1,24,0.9463576078414917,0.0536423921585083,0.0
56beb3a03aeaaa14008c9248,1,25,0.9404606819152832,0.0595393180847168,0.0
56beb3a03aeaaa14008c9248,1,26,0.9258240461349487,0.07417595386505127,0.0
56beb3a03aeaaa14008c9248,1,27,0.9176981449127197,0.08230185508728027,0.0
56beb3a03aeaaa14008c9248,1,28,0.8790832161903381,0.12091678380966187,0.0
56beb3a03aeaaa14008c9248,2,0,0.6229407787322998,0.3770592212677002,0.0
56beb3a03aeaaa14008c9248,2,1,0.8238248825073242,0.17617511749267578,0.0
56beb3a03aeaaa14008c9248,2,2,0.7714640498161316,0.2285359501838684,0.0
56beb3a03aeaaa14008c9248,2,3,0.8260608315467834,0.17393916845321655,0.0
56beb3a03aeaaa14008c9248,2,4,0.802178680896759,0.19782131910324097,0.0
56beb3a03aeaaa14008c9248,2,5,0.7801356911659241,0.21986430883407593,0.0
56beb3a03aeaaa14008c9248,2,6,0.7727038860321045,0.2272961139678955,0.0
56beb3a03aeaaa14008c9248,2,7,0.7526668906211853,0.2473331093788147,0.0
56beb3a03aeaaa14008c9248,2,8,0.7424538135528564,0.25754618644714355,0.0
56beb3a03aeaaa14008c9248,2,9,0.7705382108688354,0.22946178913116455,0.0
56beb3a03aeaaa14008c9248,2,10,0.7644717693328857,0.23552823066711426,0.0
56beb3a03aeaaa14008c9248,2,11,0.7694743275642395,0.2305256724357605,0.0
56beb3a03aeaaa14008c9248,2,12,0.7553650736808777,0.24463492631912231,0.0
56beb3a03aeaaa14008c9248,2,13,0.757339358329773,0.24266064167022705,0.0
56beb3a03aeaaa14008c9248,2,14,0.7801958918571472,0.21980410814285278,0.0
56beb3a03aeaaa14008c9248,2,15,0.8142237067222595,0.18577629327774048,0.0
56beb3a03aeaaa14008c9248,2,16,0.8519260883331299,0.14807391166687012,0.0
56beb3a03aeaaa14008c9248,2,17,0.8652051687240601,0.13479483127593994,0.0
56beb3a03aeaaa14008c9248,2,18,0.8655006289482117,0.13449937105178833,0.0
56beb3a03aeaaa14008c9248,2,19,0.8675420880317688,0.1324579119682312,0.0
56beb3a03aeaaa14008c9248,2,20,0.8795884251594543,0.12041157484054565,0.0
56beb3a03aeaaa14008c9248,2,21,0.8929676413536072,0.10703235864639282,0.0
56beb3a03aeaaa14008c9248,2,22,0.8968801498413086,0.1031198501586914,0.0
56beb3a03aeaaa14008c9248,2,23,0.9009288549423218,0.09907114505767822,0.0
56beb3a03aeaaa14008c9248,2,24,0.9006879925727844,0.09931200742721558,0.0
56beb3a03aeaaa14008c9248,2,25,0.8925351500511169,0.10746484994888306,0.0
56beb3a03aeaaa14008c9248,2,26,0.8723334670066833,0.12766653299331665,0.0
56beb3a03aeaaa14008c9248,2,27,0.8560543656349182,0.1439456343650818,0.0
56beb3a03aeaaa14008c9248,2,28,0.7934355139732361,0.20656448602676392,0.0
56beb3a03aeaaa14008c9248,3,0,0.5094130635261536,0.49058693647384644,0.0
56beb3a03aeaaa14008c9248,3,1,0.7733412384986877,0.22665876150131226,0.0
56beb3a03aeaaa14008c9248,3,2,0.7126250267028809,0.28737497329711914,0.0
56beb3a03aeaaa14008c9248,3,3,0.7789825797080994,0.22101742029190063,0.0
56beb3a03aeaaa14008c9248,3,4,0.7445053458213806,0.2554946541786194,0.0
56beb3a03aeaaa14008c9248,3,5,0.7066608667373657,0.2933391332626343,0.0
56beb3a03aeaaa14008c9248,3,6,0.6994847655296326,0.30051523447036743,0.0
56beb3a03aeaaa14008c9248,3,7,0.6818703413009644,0.31812965869903564,0.0
