run_id,model,model_label,task,typo_type,location,severity,typo_difficulty,mitigation,score,clean_score,absolute_drop,drop_ci_2.5,drop_ci_97.5,n_examples,mean_replicates_per_example,relative_degradation,error_rate,severity_completion_rate
run_1,Qwen/Qwen3-4B,Qwen3-4B,squad,deletion,any,1,hard,none,0.843040759621642,0.8747384091942917,0.031697649572649575,0.004590457112332117,0.06311100045787545,200,1.0,0.0362367185886416,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,squad,deletion,any,2,hard,none,0.7864368316868316,0.8747384091942917,0.08830157750745986,0.04598225638740345,0.13375141598597481,200,1.0,0.10094626756905885,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,squad,deletion,any,3,hard,none,0.7650626824865955,0.8747384091942917,0.10967572670769603,0.06301327095337646,0.15853777960459542,200,1.0,0.12538117173649282,0.0,0.975
run_1,Qwen/Qwen3-4B,Qwen3-4B,squad,keyboard,any,1,hard,none,0.829874414438555,0.8747384091942917,0.04486399475573658,0.013370463263361032,0.07871458792182473,200,1.0,0.05128847011195053,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,squad,keyboard,any,2,hard,none,0.7902733851116204,0.8747384091942917,0.08446502408267115,0.04255574904398434,0.1285410577712048,200,1.0,0.0965603238578155,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,squad,keyboard,any,3,hard,none,0.6895716105789635,0.8747384091942917,0.18516679861532803,0.1292286393617276,0.24105438379703079,200,1.0,0.21168248320761673,0.0,0.975
run_1,Qwen/Qwen3-4B,Qwen3-4B,squad,transposition,any,1,hard,none,0.8410765469019944,0.8747384091942917,0.033661862292297076,0.009219621954132824,0.061968020717205495,200,1.0,0.038482204437898765,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,squad,transposition,any,2,hard,none,0.807839016103722,0.8747384091942917,0.06689939309056957,0.03147019544997487,0.10451854754722399,200,1.0,0.0764793135723737,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,squad,transposition,any,3,hard,none,0.7866383866677984,0.8747384091942917,0.08810002252649313,0.04430396017381313,0.13343984295932818,200,1.0,0.1007158501335739,0.0,0.975
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,squad,deletion,any,1,hard,none,0.8142423401761637,0.8659469570247434,0.0517046168485797,0.01679482387452589,0.0874455428343586,200,1.0,0.05970875748120713,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,squad,deletion,any,2,hard,none,0.7137143326345938,0.8659469570247434,0.15223262439014953,0.10559278736609592,0.20045365910682383,200,1.0,0.17579901765946118,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,squad,deletion,any,3,hard,none,0.6661861009348558,0.8659469570247434,0.1997608560898876,0.1446227781928049,0.25826165506040144,200,1.0,0.23068486408940597,0.0,0.975
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,squad,keyboard,any,1,hard,none,0.7823176680740722,0.8659469570247434,0.08362928895067116,0.04294723827285435,0.12744144175654398,200,1.0,0.09657553303034651,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,squad,keyboard,any,2,hard,none,0.6587181208765307,0.8659469570247434,0.20722883614821272,0.15307644657802502,0.2638402479352467,200,1.0,0.23930892587257097,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,squad,keyboard,any,3,hard,none,0.6237878158874022,0.8659469570247434,0.24215914113734122,0.1832532673198269,0.3023326855961011,200,1.0,0.2796466217392364,0.0,0.975
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,squad,transposition,any,1,hard,none,0.8534967524305759,0.8659469570247434,0.012450204594167442,-0.017320968698484172,0.04276033147708844,200,1.0,0.014377560303398228,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,squad,transposition,any,2,hard,none,0.7683902796729997,0.8659469570247434,0.09755667735174377,0.057126418974236814,0.13905469913283008,200,1.0,0.11265895279190431,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,squad,transposition,any,3,hard,none,0.7004179321890421,0.8659469570247434,0.16552902483570114,0.11005844179210521,0.21986368505630216,200,1.0,0.19115376928447517,0.0,0.975
