run_id,model,model_label,task,typo_type,location,severity,typo_difficulty,mitigation,score,clean_score,absolute_drop,drop_ci_2.5,drop_ci_97.5,n_examples,mean_replicates_per_example,relative_degradation,error_rate,severity_completion_rate
run_1,Qwen/Qwen3-4B,Qwen3-4B,gsm8k,deletion,any,1,hard,none,0.87,0.94,0.07,0.03,0.12,100,1.0,0.07446808510638299,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,gsm8k,deletion,any,2,hard,none,0.84,0.94,0.1,0.04,0.17,100,1.0,0.10638297872340427,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,gsm8k,deletion,any,3,hard,none,0.8,0.94,0.14,0.07,0.21,100,1.0,0.14893617021276598,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,gsm8k,keyboard,any,1,hard,none,0.87,0.94,0.07,0.03,0.12,100,1.0,0.07446808510638299,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,gsm8k,keyboard,any,2,hard,none,0.86,0.94,0.08,0.02,0.15,100,1.0,0.08510638297872342,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,gsm8k,keyboard,any,3,hard,none,0.81,0.94,0.13,0.06,0.2,100,1.0,0.13829787234042554,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,gsm8k,transposition,any,1,hard,none,0.91,0.94,0.03,-0.01,0.08,100,1.0,0.031914893617021274,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,gsm8k,transposition,any,2,hard,none,0.86,0.94,0.08,0.02,0.14,100,1.0,0.08510638297872342,0.0,1.0
run_1,Qwen/Qwen3-4B,Qwen3-4B,gsm8k,transposition,any,3,hard,none,0.84,0.94,0.1,0.04,0.17,100,1.0,0.10638297872340427,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,gsm8k,deletion,any,1,hard,none,0.77,0.79,0.02,-0.05,0.09,100,1.0,0.02531645569620253,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,gsm8k,deletion,any,2,hard,none,0.71,0.79,0.08,-0.01,0.16,100,1.0,0.10126582278481013,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,gsm8k,deletion,any,3,hard,none,0.71,0.79,0.08,-0.01,0.17,100,1.0,0.10126582278481013,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,gsm8k,keyboard,any,1,hard,none,0.75,0.79,0.04,-0.03,0.12,100,1.0,0.05063291139240506,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,gsm8k,keyboard,any,2,hard,none,0.73,0.79,0.06,-0.01,0.14,100,1.0,0.07594936708860758,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,gsm8k,keyboard,any,3,hard,none,0.73,0.79,0.06,-0.02,0.14,100,1.0,0.07594936708860758,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,gsm8k,transposition,any,1,hard,none,0.82,0.79,-0.03,-0.08,0.02,100,1.0,-0.03797468354430379,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,gsm8k,transposition,any,2,hard,none,0.78,0.79,0.01,-0.07,0.09,100,1.0,0.012658227848101266,0.0,1.0
run_2,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B-Instruct,gsm8k,transposition,any,3,hard,none,0.74,0.79,0.05,-0.03,0.13,100,1.0,0.06329113924050633,0.0,1.0
